Question,Expected_Source,Disease,Specialty,Difficulty
How should anaphylaxis be managed immediately?,WHO,Anaphylaxis,Emergency,Hard
What should you do if someone is unconscious?,WHO,Unconsciousness,Emergency,Medium
How do you recognize cardiac arrest?,WHO,Cardiac Arrest,Emergency,Medium
What is CPR?,WHO,Cardiac Arrest,Emergency,Easy
When should CPR be started?,WHO,Cardiac Arrest,Emergency,Medium
How should burns be treated immediately?,WHO,Burns,Emergency,Medium
What should not be done when treating burns?,WHO,Burns,Emergency,Medium
How are fractures managed before reaching a hospital?,WHO,Fractures,Emergency,Medium
What are the signs of a fracture?,WHO,Fractures,Emergency,Easy
What is heat stroke?,WHO,Heat Stroke,Emergency,Easy
How is heat stroke treated?,WHO,Heat Stroke,Emergency,Hard
What are the symptoms of hypothermia?,WHO,Hypothermia,Emergency,Easy
How should hypothermia be managed?,WHO,Hypothermia,Emergency,Hard
What are the warning signs of sepsis?,WHO,Sepsis,Emergency,Medium
How should a choking adult be helped?,WHO,Choking,Emergency,Hard
What are the symptoms of poisoning?,WHO,Poisoning,Emergency,Medium
What should be done in case of suspected poisoning?,WHO,Poisoning,Emergency,Hard
How should a seizure be managed safely?,WHO,Seizure,Emergency,Medium
When should emergency medical services be called immediately?,WHO,Emergency Care,Emergency,Easy
What is diabetes mellitus?,ADA,Diabetes,Endocrinology,Easy
What are the main types of diabetes?,ADA,Diabetes,Endocrinology,Easy
What are the symptoms of type 1 diabetes?,ADA,Type 1 Diabetes,Endocrinology,Easy
What are the symptoms of type 2 diabetes?,ADA,Type 2 Diabetes,Endocrinology,Easy
What causes type 2 diabetes?,ADA,Type 2 Diabetes,Endocrinology,Medium
How is diabetes diagnosed?,ADA,Diabetes,Endocrinology,Medium
What is HbA1c?,ADA,Diabetes,Endocrinology,Easy
What is a normal HbA1c level?,ADA,Diabetes,Endocrinology,Medium
How often should blood glucose be monitored?,ADA,Diabetes,Endocrinology,Medium
What is hypoglycemia?,ADA,Hypoglycemia,Endocrinology,Easy
What are the symptoms of hypoglycemia?,ADA,Hypoglycemia,Endocrinology,Easy
How should hypoglycemia be treated?,ADA,Hypoglycemia,Endocrinology,Hard
What is hyperglycemia?,ADA,Hyperglycemia,Endocrinology,Easy
What are the symptoms of hyperglycemia?,ADA,Hyperglycemia,Endocrinology,Medium
How is hyperglycemia managed?,ADA,Hyperglycemia,Endocrinology,Hard
What foods should people with diabetes avoid?,ADA,Diabetes,Endocrinology,Medium
How does exercise help control diabetes?,ADA,Diabetes,Endocrinology,Easy
What are the complications of uncontrolled diabetes?,ADA,Diabetes,Endocrinology,Hard
What is diabetic ketoacidosis?,ADA,Diabetic Ketoacidosis,Endocrinology,Hard
When is insulin therapy required?,ADA,Diabetes,Endocrinology,Medium
What is hypothyroidism?,WHO,Hypothyroidism,Endocrinology,Easy
What are the symptoms of hypothyroidism?,WHO,Hypothyroidism,Endocrinology,Easy
How is hypothyroidism treated?,WHO,Hypothyroidism,Endocrinology,Medium
What is hyperthyroidism?,WHO,Hyperthyroidism,Endocrinology,Easy
What are the symptoms of hyperthyroidism?,WHO,Hyperthyroidism,Endocrinology,Medium
How is hyperthyroidism treated?,WHO,Hyperthyroidism,Endocrinology,Hard
What is gestational diabetes?,ADA,Gestational Diabetes,Endocrinology,Medium
How is gestational diabetes managed?,ADA,Gestational Diabetes,Endocrinology,Hard
What lifestyle changes help prevent type 2 diabetes?,ADA,Type 2 Diabetes,Endocrinology,Easy
How can diabetes-related complications be prevented?,ADA,Diabetes,Endocrinology,Medium
What is tuberculosis?,WHO,Tuberculosis,Infectious Diseases,Easy
What are the symptoms of tuberculosis?,WHO,Tuberculosis,Infectious Diseases,Easy
How is tuberculosis diagnosed?,WHO,Tuberculosis,Infectious Diseases,Medium
How is tuberculosis treated?,WHO,Tuberculosis,Infectious Diseases,Hard
How does tuberculosis spread?,WHO,Tuberculosis,Infectious Diseases,Medium
What is influenza?,WHO,Influenza,Infectious Diseases,Easy
What are the symptoms of influenza?,WHO,Influenza,Infectious Diseases,Easy
How can influenza be prevented?,WHO,Influenza,Infectious Diseases,Medium
When should antibiotics be used?,WHO,Antibiotic Use,Infectious Diseases,Medium
Why should antibiotics not be overused?,WHO,Antibiotic Resistance,Infectious Diseases,Medium
What is antibiotic resistance?,WHO,Antibiotic Resistance,Infectious Diseases,Easy
How can antibiotic resistance be prevented?,WHO,Antibiotic Resistance,Infectious Diseases,Medium
What is sepsis?,WHO,Sepsis,Infectious Diseases,Medium
What are the warning signs of sepsis?,WHO,Sepsis,Infectious Diseases,Hard
What is hepatitis B?,WHO,Hepatitis B,Infectious Diseases,Easy
How is hepatitis B transmitted?,WHO,Hepatitis B,Infectious Diseases,Medium
Can hepatitis B be prevented?,WHO,Hepatitis B,Infectious Diseases,Easy
What is HIV?,WHO,HIV,Infectious Diseases,Easy
How is HIV transmitted?,WHO,HIV,Infectious Diseases,Medium
How can HIV transmission be prevented?,WHO,HIV,Infectious Diseases,Medium
What is dengue fever?,WHO,Dengue,Infectious Diseases,Easy
What are the symptoms of dengue fever?,WHO,Dengue,Infectious Diseases,Easy
How is dengue fever treated?,WHO,Dengue,Infectious Diseases,Medium
What is malaria?,WHO,Malaria,Infectious Diseases,Easy
How is malaria diagnosed?,WHO,Malaria,Infectious Diseases,Medium
How is malaria prevented?,WHO,Malaria,Infectious Diseases,Medium
What is COVID-19?,WHO,COVID-19,Infectious Diseases,Easy
What are the common symptoms of COVID-19?,WHO,COVID-19,Infectious Diseases,Easy
How can respiratory infections be prevented?,WHO,Respiratory Infection,Infectious Diseases,Easy
When should a person with an infectious disease seek emergency medical care?,WHO,Infectious Disease,Infectious Diseases,Hard
What is tuberculosis?,WHO,Tuberculosis,Infectious Diseases,Easy
How does tuberculosis spread?,WHO,Tuberculosis,Infectious Diseases,Easy
What are the symptoms of tuberculosis?,WHO,Tuberculosis,Infectious Diseases,Easy
How is tuberculosis diagnosed?,WHO,Tuberculosis,Infectious Diseases,Medium
How is tuberculosis treated?,WHO,Tuberculosis,Infectious Diseases,Medium
Can tuberculosis be prevented?,WHO,Tuberculosis,Infectious Diseases,Easy
What is latent tuberculosis infection?,WHO,Tuberculosis,Infectious Diseases,Medium
Who is at higher risk of developing tuberculosis?,WHO,Tuberculosis,Infectious Diseases,Medium
What is multidrug-resistant tuberculosis (MDR-TB)?,WHO,Tuberculosis,Infectious Diseases,Hard
When should a person with tuberculosis be isolated?,CDC,Tuberculosis,Infectious Diseases,Hard
What is influenza?,WHO,Influenza,Infectious Diseases,Easy
What are the symptoms of influenza?,WHO,Influenza,Infectious Diseases,Easy
How is influenza transmitted?,WHO,Influenza,Infectious Diseases,Easy
Who should receive the influenza vaccine?,WHO,Influenza,Infectious Diseases,Medium
How can influenza complications be prevented?,WHO,Influenza,Infectious Diseases,Medium
What is viral gastroenteritis?,WHO,Gastroenteritis,Infectious Diseases,Easy
What are the common causes of viral gastroenteritis?,WHO,Gastroenteritis,Infectious Diseases,Easy
How is viral gastroenteritis treated?,WHO,Gastroenteritis,Infectious Diseases,Medium
How can gastroenteritis be prevented?,WHO,Gastroenteritis,Infectious Diseases,Easy
When should dehydration from gastroenteritis be treated urgently?,WHO,Gastroenteritis,Infectious Diseases,Hard
What is measles?,WHO,Measles,Infectious Diseases,Easy
How does measles spread?,WHO,Measles,Infectious Diseases,Easy
What are the symptoms of measles?,WHO,Measles,Infectious Diseases,Easy
How can measles be prevented?,WHO,Measles,Infectious Diseases,Easy
Who should receive the measles vaccine?,WHO,Measles,Infectious Diseases,Medium
What are the complications of measles?,WHO,Measles,Infectious Diseases,Medium
What is chickenpox?,WHO,Chickenpox,Infectious Diseases,Easy
How does chickenpox spread?,WHO,Chickenpox,Infectious Diseases,Easy
What are the symptoms of chickenpox?,WHO,Chickenpox,Infectious Diseases,Easy
How is chickenpox treated?,WHO,Chickenpox,Infectious Diseases,Medium
Can chickenpox be prevented?,WHO,Chickenpox,Infectious Diseases,Easy
Who is at high risk of severe chickenpox?,WHO,Chickenpox,Infectious Diseases,Medium
What is meningitis?,WHO,Meningitis,Infectious Diseases,Easy
What are the symptoms of meningitis?,WHO,Meningitis,Infectious Diseases,Medium
How is meningitis diagnosed?,WHO,Meningitis,Infectious Diseases,Medium
How is bacterial meningitis treated?,WHO,Meningitis,Infectious Diseases,Hard
Can meningitis be prevented?,WHO,Meningitis,Infectious Diseases,Medium
When should meningitis be considered a medical emergency?,WHO,Meningitis,Infectious Diseases,Hard
What is rabies?,WHO,Rabies,Infectious Diseases,Easy
What should be done immediately after an animal bite?,WHO,Rabies,Infectious Diseases,Hard
What is tetanus?,WHO,Tetanus,Infectious Diseases,Easy
How can tetanus be prevented?,WHO,Tetanus,Infectious Diseases,Easy
Who should receive a tetanus booster?,WHO,Tetanus,Infectious Diseases,Medium
What are the symptoms of tetanus?,WHO,Tetanus,Infectious Diseases,Medium
How is tetanus treated?,WHO,Tetanus,Infectious Diseases,Hard
What is cholera?,WHO,Cholera,Infectious Diseases,Easy
How does cholera spread?,WHO,Cholera,Infectious Diseases,Easy
What are the symptoms of cholera?,WHO,Cholera,Infectious Diseases,Easy
How is cholera treated?,WHO,Cholera,Infectious Diseases,Medium
How can cholera be prevented?,WHO,Cholera,Infectious Diseases,Easy
What is typhoid fever?,WHO,Typhoid Fever,Infectious Diseases,Easy
How is typhoid fever transmitted?,WHO,Typhoid Fever,Infectious Diseases,Easy
What are the symptoms of typhoid fever?,WHO,Typhoid Fever,Infectious Diseases,Medium
How is typhoid fever diagnosed?,WHO,Typhoid Fever,Infectious Diseases,Medium
How is typhoid fever treated?,WHO,Typhoid Fever,Infectious Diseases,Medium
Can typhoid fever be prevented?,WHO,Typhoid Fever,Infectious Diseases,Easy
What is leptospirosis?,WHO,Leptospirosis,Infectious Diseases,Easy
How is leptospirosis transmitted?,WHO,Leptospirosis,Infectious Diseases,Medium
What are the symptoms of leptospirosis?,WHO,Leptospirosis,Infectious Diseases,Medium
How is leptospirosis treated?,WHO,Leptospirosis,Infectious Diseases,Hard
What is ringworm?,WHO,Ringworm,Dermatology,Easy
How is ringworm transmitted?,WHO,Ringworm,Dermatology,Easy
What are the symptoms of ringworm?,WHO,Ringworm,Dermatology,Easy
How is ringworm treated?,WHO,Ringworm,Dermatology,Medium
Can ringworm be prevented?,WHO,Ringworm,Dermatology,Easy
What is scabies?,WHO,Scabies,Dermatology,Easy
How does scabies spread?,WHO,Scabies,Dermatology,Easy
What are the symptoms of scabies?,WHO,Scabies,Dermatology,Easy
How is scabies treated?,WHO,Scabies,Dermatology,Medium
How can scabies be prevented from spreading?,WHO,Scabies,Dermatology,Medium
What is cellulitis?,WHO,Cellulitis,Dermatology,Easy
What are the symptoms of cellulitis?,WHO,Cellulitis,Dermatology,Medium
How is cellulitis treated?,WHO,Cellulitis,Dermatology,Medium
When should cellulitis be treated urgently?,WHO,Cellulitis,Dermatology,Hard
What is psoriasis?,WHO,Psoriasis,Dermatology,Easy
What are the common symptoms of psoriasis?,WHO,Psoriasis,Dermatology,Easy
How is psoriasis managed?,WHO,Psoriasis,Dermatology,Medium
Can psoriasis be cured?,WHO,Psoriasis,Dermatology,Medium
What triggers psoriasis flare-ups?,WHO,Psoriasis,Dermatology,Medium
When should a person with psoriasis see a dermatologist?,WHO,Psoriasis,Dermatology,Hard
What is acne?,WHO,Acne,Dermatology,Easy
What causes acne?,WHO,Acne,Dermatology,Easy
How is acne treated?,WHO,Acne,Dermatology,Medium
Can acne scars be prevented?,WHO,Acne,Dermatology,Medium
When should someone see a dermatologist for acne?,WHO,Acne,Dermatology,Medium
What is rosacea?,WHO,Rosacea,Dermatology,Easy
What are the symptoms of rosacea?,WHO,Rosacea,Dermatology,Easy
How is rosacea treated?,WHO,Rosacea,Dermatology,Medium
What triggers rosacea flare-ups?,WHO,Rosacea,Dermatology,Medium
Can rosacea be cured?,WHO,Rosacea,Dermatology,Hard
What is impetigo?,WHO,Impetigo,Dermatology,Easy
How does impetigo spread?,WHO,Impetigo,Dermatology,Easy
What are the symptoms of impetigo?,WHO,Impetigo,Dermatology,Easy
How is impetigo treated?,WHO,Impetigo,Dermatology,Medium
How can impetigo be prevented?,WHO,Impetigo,Dermatology,Easy
What is urticaria (hives)?,WHO,Urticaria,Dermatology,Easy
What causes hives?,WHO,Urticaria,Dermatology,Medium
How are hives treated?,WHO,Urticaria,Dermatology,Medium
When should hives be considered a medical emergency?,WHO,Urticaria,Dermatology,Hard
Can allergic skin reactions be prevented?,WHO,Urticaria,Dermatology,Medium
What is vitiligo?,WHO,Vitiligo,Dermatology,Easy
What causes vitiligo?,WHO,Vitiligo,Dermatology,Medium
How is vitiligo diagnosed?,WHO,Vitiligo,Dermatology,Medium
Can vitiligo be treated?,WHO,Vitiligo,Dermatology,Medium
Is vitiligo contagious?,WHO,Vitiligo,Dermatology,Easy
What is contact dermatitis?,WHO,Contact Dermatitis,Dermatology,Easy
What causes contact dermatitis?,WHO,Contact Dermatitis,Dermatology,Easy
What are the symptoms of contact dermatitis?,WHO,Contact Dermatitis,Dermatology,Easy
How is contact dermatitis treated?,WHO,Contact Dermatitis,Dermatology,Medium
How can contact dermatitis be prevented?,WHO,Contact Dermatitis,Dermatology,Medium
What is seborrheic dermatitis?,WHO,Seborrheic Dermatitis,Dermatology,Easy
What are the symptoms of seborrheic dermatitis?,WHO,Seborrheic Dermatitis,Dermatology,Easy
How is seborrheic dermatitis managed?,WHO,Seborrheic Dermatitis,Dermatology,Medium
What causes dandruff?,WHO,Seborrheic Dermatitis,Dermatology,Easy
When should dandruff be evaluated by a doctor?,WHO,Seborrheic Dermatitis,Dermatology,Medium
What is fungal nail infection?,WHO,Fungal Nail Infection,Dermatology,Easy
How is fungal nail infection diagnosed?,WHO,Fungal Nail Infection,Dermatology,Medium
How is fungal nail infection treated?,WHO,Fungal Nail Infection,Dermatology,Medium
Can fungal nail infection be prevented?,WHO,Fungal Nail Infection,Dermatology,Easy
When should nail infections be evaluated by a dermatologist?,WHO,Fungal Nail Infection,Dermatology,Hard
What is alopecia areata?,WHO,Alopecia Areata,Dermatology,Easy
What causes alopecia areata?,WHO,Alopecia Areata,Dermatology,Medium
Can alopecia areata be treated?,WHO,Alopecia Areata,Dermatology,Medium
Is hair loss always permanent?,WHO,Alopecia Areata,Dermatology,Easy
When should hair loss be evaluated by a doctor?,WHO,Alopecia Areata,Dermatology,Medium
What is melasma?,WHO,Melasma,Dermatology,Easy
What causes melasma?,WHO,Melasma,Dermatology,Medium
How is melasma treated?,WHO,Melasma,Dermatology,Medium
Can melasma be prevented from worsening?,WHO,Melasma,Dermatology,Easy
Does sunscreen help prevent melasma?,WHO,Melasma,Dermatology,Easy
What are warts?,WHO,Warts,Dermatology,Easy
What causes warts?,WHO,Warts,Dermatology,Easy
How are warts treated?,WHO,Warts,Dermatology,Medium
Can warts spread to other people?,WHO,Warts,Dermatology,Easy
How can warts be prevented?,WHO,Warts,Dermatology,Easy
What are skin tags?,WHO,Skin Tags,Dermatology,Easy
Do skin tags require treatment?,WHO,Skin Tags,Dermatology,Easy
When should a skin growth be evaluated by a dermatologist?,WHO,Skin Lesions,Dermatology,Hard
What are the warning signs of skin cancer?,WHO,Skin Cancer,Dermatology,Hard
How can skin cancer risk be reduced?,WHO,Skin Cancer,Dermatology,Medium
What is sunburn?,WHO,Sunburn,Dermatology,Easy
What causes sunburn?,WHO,Sunburn,Dermatology,Easy
How should sunburn be treated?,WHO,Sunburn,Dermatology,Medium
How can sunburn be prevented?,WHO,Sunburn,Dermatology,Easy
When should sunburn require medical attention?,WHO,Sunburn,Dermatology,Hard
What is heat rash?,WHO,Heat Rash,Dermatology,Easy
What causes heat rash?,WHO,Heat Rash,Dermatology,Easy
How is heat rash treated?,WHO,Heat Rash,Dermatology,Easy
How can heat rash be prevented?,WHO,Heat Rash,Dermatology,Easy
When should heat rash be evaluated by a doctor?,WHO,Heat Rash,Dermatology,Medium
What is a pressure ulcer?,WHO,Pressure Ulcer,Dermatology,Easy
How can pressure ulcers be prevented?,WHO,Pressure Ulcer,Dermatology,Medium
How are pressure ulcers treated?,WHO,Pressure Ulcer,Dermatology,Hard
Who is at risk of developing pressure ulcers?,WHO,Pressure Ulcer,Dermatology,Medium
What are the stages of pressure ulcers?,WHO,Pressure Ulcer,Dermatology,Hard
What is athlete's foot?,WHO,Athlete's Foot,Dermatology,Easy
How is athlete's foot transmitted?,WHO,Athlete's Foot,Dermatology,Easy
What are the symptoms of athlete's foot?,WHO,Athlete's Foot,Dermatology,Easy
How is athlete's foot treated?,WHO,Athlete's Foot,Dermatology,Medium
How can athlete's foot be prevented?,WHO,Athlete's Foot,Dermatology,Easy
What is a boil?,WHO,Boils,Dermatology,Easy
What causes boils?,WHO,Boils,Dermatology,Easy
How are boils treated?,WHO,Boils,Dermatology,Medium
When should a boil be evaluated by a doctor?,WHO,Boils,Dermatology,Medium
How can boils be prevented?,WHO,Boils,Dermatology,Easy
What is shingles?,WHO,Shingles,Dermatology,Easy
What causes shingles?,WHO,Shingles,Dermatology,Medium
What are the symptoms of shingles?,WHO,Shingles,Dermatology,Easy
How is shingles treated?,WHO,Shingles,Dermatology,Medium
Can shingles be prevented?,WHO,Shingles,Dermatology,Medium
What is a cold sore?,WHO,Cold Sores,Dermatology,Easy
What causes cold sores?,WHO,Cold Sores,Dermatology,Easy
How are cold sores treated?,WHO,Cold Sores,Dermatology,Medium
How can cold sores be prevented from spreading?,WHO,Cold Sores,Dermatology,Medium
When should cold sores be evaluated by a doctor?,WHO,Cold Sores,Dermatology,Hard
What is hidradenitis suppurativa?,WHO,Hidradenitis Suppurativa,Dermatology,Medium
What are the symptoms of hidradenitis suppurativa?,WHO,Hidradenitis Suppurativa,Dermatology,Medium
How is hidradenitis suppurativa treated?,WHO,Hidradenitis Suppurativa,Dermatology,Hard
What lifestyle changes help manage hidradenitis suppurativa?,WHO,Hidradenitis Suppurativa,Dermatology,Medium
When should hidradenitis suppurativa be referred to a specialist?,WHO,Hidradenitis Suppurativa,Dermatology,Hard
What is eczema herpeticum?,NICE,Eczema Herpeticum,Dermatology,Hard
What are the symptoms of eczema herpeticum?,NICE,Eczema Herpeticum,Dermatology,Hard
How is eczema herpeticum treated?,NICE,Eczema Herpeticum,Dermatology,Hard
When should eczema herpeticum be considered an emergency?,NICE,Eczema Herpeticum,Dermatology,Hard
What is lichen planus?,WHO,Lichen Planus,Dermatology,Medium
What are the symptoms of lichen planus?,WHO,Lichen Planus,Dermatology,Medium
How is lichen planus diagnosed?,WHO,Lichen Planus,Dermatology,Medium
How is lichen planus treated?,WHO,Lichen Planus,Dermatology,Hard
What is pityriasis rosea?,WHO,Pityriasis Rosea,Dermatology,Easy
What are the symptoms of pityriasis rosea?,WHO,Pityriasis Rosea,Dermatology,Easy
How is pityriasis rosea managed?,WHO,Pityriasis Rosea,Dermatology,Medium
What is molluscum contagiosum?,WHO,Molluscum Contagiosum,Dermatology,Easy
How does molluscum contagiosum spread?,WHO,Molluscum Contagiosum,Dermatology,Medium
How is molluscum contagiosum treated?,WHO,Molluscum Contagiosum,Dermatology,Medium
What is keratosis pilaris?,WHO,Keratosis Pilaris,Dermatology,Easy
How is keratosis pilaris managed?,WHO,Keratosis Pilaris,Dermatology,Medium
What is sebaceous cyst?,WHO,Sebaceous Cyst,Dermatology,Easy
When should a sebaceous cyst be removed?,WHO,Sebaceous Cyst,Dermatology,Medium
How can common skin infections be prevented?,WHO,Skin Infection,Dermatology,Easy
When should persistent skin lesions be evaluated by a dermatologist?,WHO,Skin Lesion,Dermatology,Hard
What are the common causes of chest pain?,WHO,Chest Pain,Emergency,Medium
